Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  47287.; 0.630998E-01; 0.340595E-02;-0.274946E-01; 122345.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.437793E-01; 0.202027E+00;-0.485314E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47288.; 0.630701E-01; 0.342982E-02;-0.257671E-01; 122346.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.452962E-01; 0.201618E+00;-0.279952E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47291.; 0.631360E-01; 0.338077E-02;-0.292195E-01; 122349.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.418099E-01; 0.202363E+00;-0.829943E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47293.; 0.631784E-01; 0.335451E-02;-0.309441E-01; 122351.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.395298E-01; 0.202753E+00;-0.109033E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47295.; 0.632269E-01; 0.332660E-02;-0.326693E-01; 122353.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.369958E-01; 0.203177E+00;-0.143270E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47296.; 0.903502E-01;-0.333868E-02; 0.118911E-01; 122354.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.879786E-01; 0.699799E+00;-0.595322E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47297.; 0.923878E-01;-0.322787E-02; 0.122612E-01; 122355.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.875290E-01; 0.750201E+00;-0.592302E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47298.; 0.929494E-01;-0.400361E-02; 0.141468E-01; 122356.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.109360E+00; 0.761944E+00;-0.869976E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47299.; 0.908310E-01;-0.409631E-02; 0.137357E-01; 122357.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.108802E+00; 0.709791E+00;-0.850607E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47300.; 0.898315E-01;-0.237378E-02; 0.101270E-01; 122358.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.623834E-01; 0.687945E+00;-0.411566E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47301.; 0.917857E-01;-0.225279E-02; 0.104567E-01; 122359.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.611524E-01; 0.736537E+00;-0.387623E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47302.; 0.893139E-01;-0.151323E-02; 0.831608E-02; 122360.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.393807E-01; 0.675530E+00;-0.249583E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47303.; 0.911864E-01;-0.138480E-02; 0.860582E-02; 122361.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.374622E-01; 0.722294E+00;-0.215897E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47304.; 0.887809E-01;-0.613924E-03; 0.651477E-02; 122362.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.157683E-01; 0.662925E+00;-0.123038E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47305.; 0.905811E-01;-0.553558E-03; 0.673890E-02; 122363.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.150738E-01; 0.708016E+00;-0.815331E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47306.; 0.944239E-01;-0.310886E-02; 0.126593E-01; 122364.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.866801E-01; 0.801568E+00;-0.591261E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47307.; 0.950660E-01;-0.390206E-02; 0.145887E-01; 122365.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.109544E+00; 0.815178E+00;-0.891498E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47308.; 0.937406E-01;-0.212751E-02; 0.108097E-01; 122366.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.595700E-01; 0.786019E+00;-0.366905E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47309.; 0.930611E-01;-0.125283E-02; 0.891603E-02; 122367.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.353699E-01; 0.769955E+00;-0.180515E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47310.; 0.923756E-01;-0.415760E-03; 0.700851E-02; 122368.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.124483E-01; 0.753750E+00;-0.353118E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47311.; 0.964528E-01;-0.298030E-02; 0.130880E-01; 122369.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.855568E-01; 0.853608E+00;-0.599241E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47312.; 0.971744E-01;-0.378791E-02; 0.150649E-01; 122370.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.109297E+00; 0.869061E+00;-0.923997E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47313.; 0.957008E-01;-0.206524E-02; 0.111602E-01; 122371.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.595832E-01; 0.836622E+00;-0.352256E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47314.; 0.949310E-01;-0.111602E-02; 0.924992E-02; 122372.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.329545E-01; 0.818210E+00;-0.142606E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47315.; 0.941666E-01;-0.276227E-03; 0.729844E-02; 122373.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.961125E-02; 0.800103E+00; 0.119074E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47316.; 0.984739E-01;-0.284180E-02; 0.135466E-01; 122374.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.840596E-01; 0.906058E+00;-0.625008E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47317.; 0.992741E-01;-0.366064E-02; 0.155748E-01; 122375.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.108492E+00; 0.923409E+00;-0.961773E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47318.; 0.976436E-01;-0.192361E-02; 0.115672E-01; 122376.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.575769E-01; 0.887070E+00;-0.356852E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47319.; 0.967957E-01;-0.974167E-03; 0.960704E-02; 122377.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.304236E-01; 0.866970E+00;-0.113566E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47320.; 0.959538E-01;-0.133553E-03; 0.760881E-02; 122378.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.662375E-02; 0.847008E+00; 0.557554E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47321.; 0.100487E+00;-0.269261E-02; 0.140344E-01; 122379.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.820770E-01; 0.958946E+00;-0.647453E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47322.; 0.101364E+00;-0.351947E-02; 0.161175E-01; 122380.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.107146E+00; 0.978055E+00;-0.100628E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47323.; 0.995796E-01;-0.177544E-02; 0.119993E-01; 122381.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.550974E-01; 0.938166E+00;-0.355973E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47324.; 0.986547E-01;-0.827203E-03; 0.998666E-02; 122382.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.275528E-01; 0.916114E+00;-0.957700E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47325.; 0.977367E-01; 0.128904E-04; 0.793928E-02; 122383.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.343078E-02; 0.894370E+00; 0.990556E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47326.; 0.102491E+00;-0.253168E-02; 0.145500E-01; 122384.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.796864E-01; 0.101210E+01;-0.674824E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47327.; 0.103446E+00;-0.336309E-02; 0.166913E-01; 122385.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.105249E+00; 0.103288E+01;-0.105684E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47328.; 0.101509E+00;-0.161775E-02; 0.124564E-01; 122386.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.524132E-01; 0.989706E+00;-0.356842E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47329.; 0.100521E+00;-0.746058E-03; 0.103592E-01; 122387.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.264869E-01; 0.966297E+00;-0.860659E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47330.; 0.995150E-01; 0.163809E-03; 0.828901E-02; 122388.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.105948E-03; 0.942122E+00; 0.135939E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47331.; 0.104488E+00;-0.235649E-02; 0.150907E-01; 122389.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.767409E-01; 0.106540E+01;-0.706954E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47332.; 0.105517E+00;-0.318829E-02; 0.172924E-01; 122390.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.102657E+00; 0.108773E+01;-0.111273E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47333.; 0.103431E+00;-0.144918E-02; 0.129363E-01; 122391.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.493060E-01; 0.104135E+01;-0.366647E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47334.; 0.102369E+00;-0.580349E-03; 0.107830E-01; 122392.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.231330E-01; 0.101622E+01;-0.718452E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47335.; 0.101289E+00; 0.320366E-03; 0.865696E-02; 122393.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.341238E-02; 0.990207E+00; 0.170504E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47336.; 0.106476E+00;-0.216410E-02; 0.156530E-01; 122394.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.731802E-01; 0.111877E+01;-0.742213E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47337.; 0.107579E+00;-0.299180E-02; 0.179169E-01; 122395.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.993076E-01; 0.114263E+01;-0.117126E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47338.; 0.105346E+00;-0.126752E-02; 0.134360E-01; 122396.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.457001E-01; 0.109319E+01;-0.376622E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47339.; 0.104211E+00;-0.408421E-03; 0.112235E-01; 122397.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.194478E-01; 0.106646E+01;-0.577493E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47340.; 0.103059E+00; 0.483355E-03; 0.904128E-02; 122398.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.723466E-02; 0.103873E+01; 0.205192E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47341.; 0.108455E+00;-0.195216E-02; 0.162344E-01; 122399.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.689194E-01; 0.117219E+01;-0.780230E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47342.; 0.109632E+00;-0.277124E-02; 0.185621E-01; 122400.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.951724E-01; 0.119757E+01;-0.123401E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47343.; 0.107253E+00;-0.107042E-02; 0.139534E-01; 122401.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.415263E-01; 0.114514E+01;-0.389283E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47344.; 0.106047E+00;-0.224431E-03; 0.116805E-01; 122402.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.153898E-01; 0.111691E+01;-0.466550E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47345.; 0.104837E+00; 0.583002E-03; 0.941423E-02; 122403.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.925520E-02; 0.108805E+01; 0.225033E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47346.; 0.110426E+00;-0.171892E-02; 0.168331E-01; 122404.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.639161E-01; 0.122564E+01;-0.822520E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47347.; 0.111677E+00;-0.252482E-02; 0.192265E-01; 122405.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.901754E-01; 0.125253E+01;-0.129700E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47348.; 0.109153E+00;-0.855980E-03; 0.144865E-01; 122406.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.367202E-01; 0.119714E+01;-0.401020E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47349.; 0.107877E+00;-0.270385E-04; 0.121519E-01; 122407.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.108527E-01; 0.116744E+01;-0.383607E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47350.; 0.106597E+00; 0.766959E-03; 0.982811E-02; 122408.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.136839E-01; 0.113694E+01; 0.253622E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47351.; 0.112410E+00;-0.153301E-02; 0.174171E-01; 122409.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.602834E-01; 0.127980E+01;-0.879146E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47352.; 0.113713E+00;-0.225461E-02; 0.199053E-01; 122410.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.844316E-01; 0.130755E+01;-0.134990E-01; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47353.; 0.111048E+00;-0.622796E-03; 0.150341E-01; 122411.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.313565E-01; 0.124919E+01;-0.403715E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47354.; 0.109702E+00; 0.185198E-03; 0.126364E-01; 122412.; 0.000000E+00; 0.000000E+00; 0.000000E+00; 0.574616E-02; 0.121810E+01;-0.220512E-03; 0.000000E+00; 0.000000E+00; 0.000000E+00
  47355.; 0.108353E+00; 0.960445E-03; 0.102532E-01; 122413.; 0.000000E+00; 0.000000E+00; 0.000000E+00;-0.184839E-01; 0.118613E+01; 0.287283E-02; 0.000000E+00; 0.000000E+00; 0.000000E+00
