Node_Id_;X_a (m) ;Y_a (m) ;Z_a (m) ;Node_Id_;X_b (m) ;Y_b (m) ;Z_b (m) ;ux_a (m);uy_a (m);uz_a (m);ux_b (m);uy_b (m);uz_b (m)
  71430.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 146488.; 0.635278E-01;-0.318174E-02;-0.274069E-01; 0.378849E-01; 0.266624E-01; 0.132661E-01; 0.332639E-02;-0.125226E-02; 0.219315E-03
  71431.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 146489.; 0.635580E-01;-0.315376E-02;-0.256907E-01; 0.353912E-01; 0.273923E-01; 0.130235E-01; 0.333401E-02;-0.109631E-02; 0.229425E-03
  71434.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 146492.; 0.634912E-01;-0.320932E-02;-0.291255E-01; 0.405658E-01; 0.257433E-01; 0.135841E-01; 0.332779E-02;-0.140065E-02; 0.199396E-03
  71436.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 146494.; 0.634481E-01;-0.323644E-02;-0.308446E-01; 0.434541E-01; 0.246097E-01; 0.138600E-01; 0.332633E-02;-0.153920E-02; 0.173480E-03
  71438.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 146496.; 0.633990E-01;-0.326256E-02;-0.325629E-01; 0.466091E-01; 0.232890E-01; 0.141919E-01; 0.332527E-02;-0.166245E-02; 0.145732E-03
  71439.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 146497.; 0.905128E-01;-0.471232E-02; 0.113184E-01; 0.117587E+00; 0.894053E+00; 0.130142E+00; 0.271583E-02; 0.260380E-02; 0.214129E-02
  71440.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 146498.; 0.925755E-01;-0.458274E-02; 0.116812E-01; 0.109533E+00; 0.102025E+01; 0.154956E+00; 0.269024E-02; 0.277021E-02; 0.224115E-02
  71441.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 146499.; 0.931304E-01;-0.531080E-02; 0.135769E-01; 0.134669E+00; 0.107340E+01; 0.166331E+00; 0.263486E-02; 0.308520E-02; 0.238105E-02
  71442.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 146500.; 0.909869E-01;-0.543330E-02; 0.131694E-01; 0.142718E+00; 0.935000E+00; 0.137433E+00; 0.266527E-02; 0.289129E-02; 0.226946E-02
  71443.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 146501.; 0.900603E-01;-0.426260E-02; 0.936607E-02; 0.107082E+00; 0.855504E+00; 0.122954E+00; 0.277545E-02; 0.232073E-02; 0.205327E-02
